minutes,mean_intensity
-1,16.3
-0.5,15.57
0,14.38
0.5,13.65
1,13.92
1.5,13.51
2,13.03
2.5,13.18
3,12.62
3.5,12.9
4,14.07
4.5,14.11
5,13.47
5.5,13.69
6,13.12
6.5,12.28
7,11.21
7.5,10.42
8,12.17
8.5,12.13
9,12.15
9.5,11.68
10,11.22
10.5,10.74
11,11.06
11.5,11.64
12,11.09
12.5,11.37
13,9.65
13.5,10.79
14,10.91
14.5,9.61
15,11.41
15.5,11.09
16,9.82
16.5,9.85
17,10.51
17.5,10.62
18,10.29
18.5,10.74
19,10.94
19.5,10.51
20,11.06
20.5,10.39
21,9.87
21.5,9.43
22,8.64
22.5,10.44
23,10.8
23.5,10.06
24,8.92
24.5,10.63
25,11.16
25.5,10.59
26,10.02
26.5,11.46
27,10.96
27.5,11.65
28,12.07
28.5,11.25
29,9.91