,genotype,sampleID,mean_all,mean_edges,mean_edges_noVertices,mean_vertices,mean_interiors
0,TJ_Fat23xGFP,1,3.6788939830176943,6.067809070760582,4.811729878804747,7.619913590399963,2.8606167782038563
0,TJ_Fat23xGFP,2,5.193635550569972,8.34232625896198,6.6843692609714385,9.879149363391594,4.091866239126821
0,TJ_Fat23xGFP,3,3.946500092489082,6.366891061289,5.077969936964604,7.543139903026546,3.13413859385096
0,TJ_Fat23xGFP,4,5.39344167587662,8.044580013922191,6.4615919866660185,9.702677529908579,4.4983705591821685
0,TJ_Fat23xGFP,5,4.757098126250168,7.218491662282407,5.954338757563231,8.496480047751971,3.9313647690822613
0,TJ_Fat23xGFP,6,3.1291673865082816,5.701338983522343,4.409733631393251,7.715967229560274,2.4438861889080683
0,TJ_Fat23xGFP,7,2.6931140817471,4.975088948371392,3.6201782400053504,6.732868657667147,2.01287058390848
0,TJ_Fat23xGFP,8,2.6014006041290543,4.95408396686492,3.7049379286142514,6.3802399552415086,2.04204669446627
0,TJ_Fat23xGFP,9,3.474823871584047,6.090860648874138,4.836220356998863,8.036177654093489,2.796482573359373
0,TJ_Fat23xGFP,10,3.204951084501155,5.578950284591749,4.376799395705191,7.507940333341789,2.591086843847889
0,TJ_Fat23xGFP,11,3.2868076601346625,5.710949143704349,4.482856998159933,7.631971203090401,2.6051005020588023
0,TJ_Fat23xGFP,12,2.843344601566771,5.425102741879249,4.310960813248074,7.210161986435738,2.1762986948580183
0,TJ_Fat23xGFP,13,3.6499064485186152,5.992128901247669,4.722441163591683,8.06339852501867,3.0283232824966726
0,TJ_Fat23xGFP,14,3.0808638591277466,5.2179527883369525,4.213798663758351,6.75704612780364,2.460303761856787
0,TJ_Fat23xGFP_larRNAi,1,3.769810984572896,7.489740441128223,5.718681275267656,10.527212069909872,2.8714385407086636
0,TJ_Fat23xGFP_larRNAi,2,3.0662795232121627,7.487198602074226,5.6493517816197185,9.905297709286637,2.0262387991786066
0,TJ_Fat23xGFP_larRNAi,3,2.992833888824404,5.755446865273456,4.290666962191315,7.72501605562226,2.2222636484687084
0,TJ_Fat23xGFP_larRNAi,4,3.37377487260254,8.205879596979814,6.922168245203228,9.852856756721971,2.180819099594084
0,TJ_Fat23xGFP_larRNAi,5,3.370218400630228,5.798839451468459,4.549840058062955,7.507096806646602,2.6379203637903905
0,TJ_Fat23xGFP_larRNAi,6,3.738091164453524,8.217994244586036,6.442643746840098,10.549796446787605,2.6334905931214
0,TJ_Fat23xGFP_larRNAi,7,2.804168635712529,5.683230362428137,4.1207233579524125,7.574721168782098,1.950055087709213
0,TJ_Fat23xGFP_sema5cK175,1,3.2737864391040836,5.282719650018228,3.999611874902969,7.065295341151249,2.7198220867592857
0,TJ_Fat23xGFP_sema5cK175,2,2.4952441001621333,4.322960822960823,3.4016614372399685,5.434182917491224,1.934410529223838
0,TJ_Fat23xGFP_sema5cK175,3,2.4483096674019325,4.2570543932040295,3.2493650270469394,5.2974252631074235,1.9126019445708555
0,TJ_Fat23xGFP_sema5cK175,4,2.5404733058522115,4.200115356348785,3.2371183423851035,5.159946533923304,1.9538516324861124
0,TJ_Fat23xGFP_sema5cK175,5,2.1489882947417613,3.6134477232317272,2.7544304426714388,4.614114088599637,1.7112337926450605
0,TJ_Fat23xGFP_sema5cK175,6,2.682074697761053,4.292486730623414,3.4049914452856864,5.3652627246535864,2.2373677355566755
0,TJ_Fat23xGFP_sema5cK175,7,3.553052792041078,5.369232240175925,4.130921695849258,6.920453132125534,2.974481965296598
0,TJ_Fat23xGFP_sema5cK175,8,3.4189505910755114,5.349904072661922,4.41125020779254,6.248482530390969,2.8317057026476578
0,TJ_Fat23xGFP_sema5cK175,9,2.8300135024069513,4.500076980232815,3.683629125237734,5.691445963603914,2.3674212299689184
0,TJ_Fat23xGFP_sema5cK175,10,2.57850537993188,4.125558419542426,3.3216686668295115,5.14090258097937,2.1123701115598283
0,TJ_Fat23xGFP_sema5cK175,11,2.6976111414954294,4.456697400255957,3.537789539582266,5.6038659592728415,2.250418390264218
0,TJ_Fat23xGFP_sema5cK175,12,2.861464439261268,4.96136277738783,3.8440417441954535,6.300836667879229,2.439086881360977
0,TJ_Fat23xGFP_sema5cK175,13,2.509784690620118,4.383917466283527,3.33517187554603,5.838777805205848,1.9528524925153257
0,TJ_Fat23xGFP_sema5cK175_larRNAi,1,3.825747131487452,5.628937212409084,4.530247993724734,6.738034761266018,3.252962581666024
0,TJ_Fat23xGFP_sema5cK175_larRNAi,2,4.107153119023435,5.8786175482723175,4.88186898286394,6.847775455359808,3.5752989688746704
0,TJ_Fat23xGFP_sema5cK175_larRNAi,3,2.8108708097332182,4.3177699903410955,3.412043005369413,5.322985425789164,2.3745512593630598
0,TJ_Fat23xGFP_sema5cK175_larRNAi,4,3.8433049624324673,5.3693026107024355,4.494091086459669,6.406908787309539,3.376863976988873
0,TJ_Fat23xGFP_sema5cK175_larRNAi,5,3.940611505208476,5.712608850233753,4.9169932141833135,6.609674091157371,3.463647074528285
0,TJ_Fat23xGFP_sema5cK175_larRNAi,6,3.23773608640424,4.895928871691983,4.1236272528597935,5.730316526165103,2.7545906036703585
0,TJ_Fat23xGFP_sema5cK175_larRNAi,7,3.349491423144449,5.1269673544296746,4.2756429391123225,5.9878015898842465,2.807932939890016
0,TJ_Fat23xGFP_sema5cK175_larRNAi,8,2.988210667192849,4.496856120367876,3.5929181929181935,5.659395509499136,2.569166156461836
0,TJ_Fat23xGFP_sema5cK175_larRNAi,9,3.26628176512667,4.933367653976903,4.092977884497319,5.882820673781126,2.8076999067844697
0,TJ_Fat23xGFP_sema5cK175_larRNAi,10,4.083443063960205,6.301337989903541,5.034942748526031,7.42900452906923,3.3225377186562306
0,TJ_Fat23xGFP_sema5cK175_larRNAi,11,3.122162577029312,4.947662192173897,4.009332091090983,5.981713817138171,2.6054944264652997
0,TJ_Fat23xGFP_sema5cK175_larRNAi,12,3.15939958837443,4.9457284530739205,3.8783903662259114,6.124988510395794,2.580845091341156
0,TJ_Fat23xGFP_sema5cK175_larRNAi,13,3.9111249073566072,6.047958291506103,4.678813218340535,7.380975133473211,3.3332560826839446
