Sample,ctrl_ctrl 1,ctrl_ctrl 2,ctrl_ctrl 3,ctrl_ctrl 4,5ctrl_ctrl ,ctrl_ctrl 6,ctrl_ctrl 7,ctrl_ctrl 8,ctrl_ctrl 9,ctrl_ctrl 10,ctrl_ctrl 11,ctrl_ctrl 12,ctrl_ctrl 13,ctrl_ctrl 14,ctrl_ctrl 15,ctrl_ctrl 16,ctrl_ctrl 17,ctrl_ctrl 18,fat2RNAi_fat2RNAi 1,fat2RNAi_fat2RNAi 2,fat2RNAi_fat2RNAi 3,fat2RNAi_fat2RNAi 4,fat2RNAi_fat2RNAi 5,fat2RNAi_fat2RNAi 6,fat2RNAi_fat2RNAi 7,fat2RNAi_fat2RNAi 8,fat2RNAi_fat2RNAi 9,fat2RNAi_fat2RNAi 10,fat2RNAi_fat2RNAi 11,fat2RNAi_fat2RNAi 12,fat2RNAi_fat2RNAi 13,fat2RNAi_fat2RNAi 14,fat2RNAi_fat2RNAi 15,fat2RNAi_fat2RNAi 16,fat2RNAi_fat2RNAi 17,fat2RNAi_fat2RNAi 18,ctrl_ahead_fat2RNAi_behind 1,ctrl_ahead_fat2RNAi_behind 2,ctrl_ahead_fat2RNAi_behind 3,ctrl_ahead_fat2RNAi_behind 4,ctrl_ahead_fat2RNAi_behind 5,ctrl_ahead_fat2RNAi_behind 6,ctrl_ahead_fat2RNAi_behind 7,ctrl_ahead_fat2RNAi_behind 8,ctrl_ahead_fat2RNAi_behind 9,ctrl_ahead_fat2RNAi_behind 10,ctrl_ahead_fat2RNAi_behind 11,ctrl_ahead_fat2RNAi_behind 12,ctrl_ahead_fat2RNAi_behind 13,ctrl_ahead_fat2RNAi_behind 14,ctrl_ahead_fat2RNAi_behind 15,ctrl_ahead_fat2RNAi_behind 16,ctrl_ahead_fat2RNAi_behind 17,ctrl_ahead_fat2RNAi_behind 18,fat2RNAi_ahead_ctrl_behind 1,fat2RNAi_ahead_ctrl_behind 2,fat2RNAi_ahead_ctrl_behind 3,fat2RNAi_ahead_ctrl_behind 4,fat2RNAi_ahead_ctrl_behind 5,fat2RNAi_ahead_ctrl_behind 6,fat2RNAi_ahead_ctrl_behind 7,fat2RNAi_ahead_ctrl_behind 8,fat2RNAi_ahead_ctrl_behind 9,fat2RNAi_ahead_ctrl_behind 10,fat2RNAi_ahead_ctrl_behind 11,fat2RNAi_ahead_ctrl_behind 12,fat2RNAi_ahead_ctrl_behind 13,fat2RNAi_ahead_ctrl_behind 14,fat2RNAi_ahead_ctrl_behind 15,fat2RNAi_ahead_ctrl_behind 16,fat2RNAi_ahead_ctrl_behind 17,fat2RNAi_ahead_ctrl_behind 18
1,12.754,10.959,25.259,11.151,12.991,22.767,8.160,17.197,11.350,16.159,21.762,14.948,19.631,17.574,9.341,18.793,16.050,11.332,5.769,5.132,13.389,7.665,10.224,9.080,7.029,9.942,7.811,7.526,11.010,11.585,10.746,9.481,6.521,6.258,9.075,9.031,21.603,9.303,20.362,10.252,22.947,11.681,14.916,23.345,10.847,17.033,27.912,16.854,16.745,15.027,12.938,30.652,15.998,11.436,9.413,5.949,21.269,7.759,12.502,11.499,6.651,8.150,9.847,8.435,17.597,16.065,13.136,14.190,10.317,11.354,7.785,7.650
2,11.238,4.998,19.917,10.868,12.841,16.947,9.802,12.213,14.490,20.079,14.248,17.106,17.244,15.867,11.900,18.522,21.880,17.093,11.121,5.941,18.298,8.540,10.102,11.547,8.169,8.884,5.179,7.429,11.086,10.888,12.058,7.544,6.951,15.719,8.586,9.088,13.311,4.906,19.693,15.399,13.079,16.762,9.168,19.890,7.781,13.848,26.951,24.615,16.717,12.784,10.933,25.236,12.091,13.424,8.656,6.079,17.834,8.063,8.944,16.557,4.693,8.326,9.188,9.616,10.889,12.367,15.132,13.990,6.927,12.483,8.867,8.916
3,17.267,8.335,15.310,13.332,12.736,18.428,9.755,12.960,11.422,16.833,17.801,23.590,18.069,17.220,13.960,24.536,12.687,14.072,13.242,5.537,11.624,7.519,14.042,9.026,,8.539,5.108,7.947,11.961,17.697,12.864,10.422,8.354,9.361,8.499,12.578,5.540,9.013,12.631,17.055,15.158,14.537,9.753,15.380,8.420,19.381,22.853,17.198,15.960,16.833,9.007,16.839,8.321,13.243,5.142,5.956,22.654,8.694,9.356,12.592,6.389,6.386,5.188,8.092,14.311,12.179,11.950,12.677,11.515,10.573,7.427,7.301
4,13.627,12.118,23.583,16.080,16.636,14.087,11.831,18.214,8.389,14.615,19.926,15.765,22.817,17.398,9.933,16.443,13.668,11.271,8.697,4.216,11.554,11.679,10.483,7.167,,,6.316,8.519,13.847,14.171,12.571,8.506,6.147,7.664,10.469,8.606,10.334,7.467,18.412,7.557,9.093,14.473,14.287,14.686,12.842,14.971,23.961,15.211,17.909,11.230,13.189,17.947,8.028,15.175,6.720,4.901,13.082,12.965,9.115,9.595,,,5.675,5.977,10.434,16.708,11.349,12.878,8.720,13.963,9.784,7.965
5,8.434,10.407,21.503,14.290,10.860,9.831,11.057,13.152,14.559,19.307,17.452,15.344,15.844,11.313,15.852,15.916,8.835,15.115,9.272,3.350,13.582,11.192,8.659,6.916,,,,8.963,10.419,17.880,10.410,10.470,5.815,9.425,10.119,10.876,11.447,9.135,13.157,9.214,16.868,12.991,,17.168,,11.324,15.142,19.564,20.000,12.399,19.817,14.963,8.006,16.236,5.114,5.822,8.488,10.698,8.051,7.212,,,,6.701,14.300,12.074,10.348,13.777,6.921,10.724,8.087,9.418
6,12.779,10.372,17.185,10.185,12.344,16.585,13.596,13.402,20.126,18.625,25.130,19.676,28.150,14.729,13.020,14.632,9.994,11.233,9.647,3.466,12.624,10.156,9.182,9.963,,,,10.557,11.173,16.136,13.920,10.660,7.890,12.225,11.606,11.274,17.950,6.882,24.185,15.480,14.189,20.514,,,,18.109,13.775,19.340,16.783,13.045,27.535,12.795,7.575,14.250,9.391,3.728,13.142,13.633,7.960,9.279,,,,9.685,11.254,15.092,14.064,12.040,9.440,10.933,9.259,7.838
7,12.995,5.630,21.947,12.092,12.568,13.964,14.698,10.778,13.187,18.834,16.002,15.537,14.164,15.806,24.447,13.403,16.135,14.684,10.605,3.202,25.004,7.244,7.869,9.188,,,,8.949,15.413,13.156,13.048,7.995,11.608,11.482,14.082,8.715,12.227,11.971,19.071,10.459,12.970,15.791,,,,9.995,17.107,15.517,17.121,12.717,16.541,14.617,9.316,15.413,5.872,6.606,13.348,9.020,6.762,8.494,,,,8.147,12.855,16.153,10.014,13.274,9.022,13.307,6.053,10.407
8,10.981,6.706,19.527,7.901,10.624,11.818,15.235,13.139,10.002,13.403,16.914,20.201,18.427,16.741,15.259,13.593,10.301,11.062,8.162,4.796,20.679,7.390,10.381,,,,,7.604,14.499,12.127,13.073,12.556,7.409,11.511,8.455,9.420,13.292,9.759,14.192,16.437,13.585,,,,,18.372,22.934,19.794,23.970,18.336,11.548,17.308,11.058,12.042,7.331,6.917,11.221,9.252,9.115,14.170,,,,9.210,14.045,14.173,14.209,10.915,10.701,9.689,5.779,10.566
9,16.796,7.512,25.193,13.767,19.193,16.908,11.572,14.501,8.691,13.336,13.434,18.309,12.145,14.481,14.039,15.142,17.237,16.689,10.212,2.860,15.448,14.847,8.711,,,,,6.409,14.930,17.181,12.573,8.439,7.058,13.459,8.002,11.422,17.938,10.849,16.924,12.501,8.860,,,,,11.290,23.155,,18.512,,15.957,23.250,11.785,10.460,7.753,7.917,7.594,8.639,6.942,9.955,,,,9.016,12.663,15.196,11.676,,7.815,9.825,8.205,10.766
10,15.696,11.066,21.073,5.571,11.315,11.456,12.756,12.961,14.889,13.576,18.586,13.892,19.491,15.381,14.246,15.154,15.389,9.595,7.903,6.615,17.209,8.628,8.944,,,,,6.997,15.884,13.103,10.202,9.134,9.645,7.948,9.195,12.974,9.835,,19.608,19.231,,,,,,12.610,17.090,,16.248,,15.311,18.839,12.120,17.381,5.448,9.097,11.655,11.129,8.299,10.148,,,,9.595,15.906,14.002,11.078,,7.523,,5.356,8.731
11,10.382,9.177,15.486,10.841,9.835,14.403,10.526,12.709,6.487,12.251,21.671,18.206,22.273,10.634,14.987,14.030,13.891,16.154,8.277,5.916,11.673,10.924,5.755,,,,,,12.574,19.230,14.007,11.430,7.280,12.226,12.644,11.406,13.311,,,20.994,,,,,,13.590,25.485,,17.483,,21.458,,12.646,,5.337,4.782,,,6.879,,,,,8.936,14.571,12.673,,,10.050,,7.904,
12,12.376,10.102,21.686,11.748,10.768,16.029,,,15.442,12.358,16.960,21.709,14.702,12.328,13.460,11.415,10.797,14.175,6.056,4.965,13.232,8.102,9.692,,,,,,13.882,19.035,11.620,8.606,8.646,6.468,11.277,10.433,15.702,,,19.485,,,,,,12.041,19.316,,,,12.288,,11.405,,7.152,6.848,,,6.294,,,,,9.092,10.710,12.066,,,13.738,,7.382,
13,13.137,9.735,20.828,17.684,19.092,14.784,,,12.101,14.385,17.400,13.527,17.172,12.761,7.879,,16.019,13.897,5.741,4.762,14.970,8.760,8.001,,,,,,10.783,18.095,12.882,8.681,10.042,10.596,8.183,7.550,12.554,,,17.454,,,,,,11.090,,,,,,,,,10.529,7.116,,,5.423,,,,,,13.232,11.027,,,,,8.046,
14,14.110,12.512,25.061,9.577,10.619,12.104,,,12.939,14.396,16.142,19.178,20.412,9.179,12.243,,10.472,12.400,6.335,4.900,13.227,7.175,8.796,,,,,,13.590,13.802,10.415,12.806,5.739,9.578,7.308,7.788,19.833,,,8.066,,,,,,,,,,,,,,,7.937,7.129,,,9.800,,,,,,10.916,13.866,,,,,,
15,11.714,15.090,24.823,13.615,11.330,9.001,,,,12.201,16.381,17.148,22.230,9.100,9.553,,12.529,11.214,9.525,5.459,9.490,13.391,7.312,,,,,,15.508,12.391,11.460,11.058,8.297,6.849,12.285,8.563,17.224,,,10.061,,,,,,,,,,,,,,,14.321,5.722,,,6.017,,,,,,18.181,,,,,,,
16,14.133,13.353,19.471,15.740,,8.698,,,,13.721,18.405,18.750,23.971,15.257,12.224,,21.340,12.822,9.191,5.870,10.483,9.944,8.591,,,,,,14.920,11.635,11.351,11.005,9.065,15.355,11.204,10.812,12.095,,,,,,,,,,,,,,,,,,7.066,7.996,,,,,,,,,14.147,,,,,,,
17,8.590,13.791,17.676,13.079,,12.271,,,,,21.388,21.736,15.400,11.717,15.679,,11.171,17.613,9.535,,12.171,9.585,8.034,,,,,,17.569,13.842,11.609,9.874,7.923,11.039,11.008,7.576,18.935,,,,,,,,,,,,,,,,,,6.388,10.827,,,,,,,,,14.084,,,,,,,
18,18.503,10.658,,13.528,,11.604,,,,,17.235,21.329,25.394,,,,5.363,13.477,7.593,,10.326,,8.691,,,,,,13.630,14.345,11.382,,9.286,9.367,8.191,7.482,,,,,,,,,,,,,,,,,,,8.209,,,,,,,,,,14.593,,,,,,,
19,10.432,14.414,,14.423,,12.184,,,,,16.275,,21.678,,,,,,8.030,,,,7.910,,,,,,15.096,10.602,10.872,,7.578,16.426,12.170,6.709,,,,,,,,,,,,,,,,,,,9.603,,,,,,,,,,,,,,,,,
20,10.929,,,11.967,,,,,,,12.798,,18.560,,,,,,,,,,7.681,,,,,,14.455,12.595,10.330,,,13.610,11.269,9.395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,12.018,,,,,,,,,,,,,,,,,,,,,,8.948,,,,,,12.417,9.063,9.979,,,10.322,,6.401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,13.809,,,,,,,,,,,,,,,,,,,,,,6.808,,,,,,9.379,12.908,16.027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,13.635,,,,,,,,,,,,,,,,,,,,,,3.631,,,,,,10.741,,12.686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,12.846,,,,,,,,,,,,,,,,,,,,,,8.430,,,,,,,,11.968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,10.279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,9.984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,8.841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,11.779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,