Sample,ctrl_ctrl,fat2RNAi_fat2RNAi,ctrl_ahead_fat2RNAi_behind,fat2RNAi_ahead_ctrl_behind
1,12.502,8.680,14.302,7.757
2,10.365,4.812,8.809,6.670
3,20.913,14.166,17.824,14.029
4,12.372,9.573,13.976,9.985
5,12.917,8.620,14.083,8.097
6,13.888,8.611,14.094,10.500
7,11.726,7.399,11.025,6.183
8,13.748,8.841,16.412,7.716
9,12.434,6.683,9.778,7.780
10,15.255,8.397,13.832,8.654
11,17.796,13.157,20.514,13.457
12,18.108,14.064,17.788,13.709
13,19.389,11.963,17.537,12.360
14,13.970,10.148,14.041,13.082
15,13.413,8.313,15.502,9.822
16,15.965,11.040,18.950,11.885
17,13.542,10.506,11.181,8.352
18,13.550,9.823,14.278,9.778